Ano,Fase,Questão,Link
2014,Fase 1,Língua do P,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f1/lingua/
2014,Fase 1,Matriz Escada,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f1/escada/
2014,Fase 1,PacMan,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f1/pacman/
2013,Fase 2,Cachecol da Vovó Vitória,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f2/cachecol/
2013,Fase 2,Famílias de Troia,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f2/troia/
2013,Fase 2,Janela,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f2/janela/
2013,Fase 2,Torneio,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f2/torneio/
2013,Fase 1,Catálogo de Músicas,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f1/catalogo/
2013,Fase 1,Lençol,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f1/lencol/
2013,Fase 1,Tiro ao alvo,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f1/alvo/
2013,Fase 1,Vende-se,https://olimpiada.ic.unicamp.br/pratique/p2/2013/f1/vende/
2012,Fase 2,Álbum de fotos,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f2/album/
2012,Fase 2,Banco,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f2/banco/
2012,Fase 2,Bomba,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f2/bomba/
2012,Fase 2,Soma de casas,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f2/soma/
2012,Fase 1,Colchão,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f1/colchao/
2012,Fase 1,Frequência na aula,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f1/frequencia/
2012,Fase 1,O Tabuleiro Esburacado,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f1/cavalo/
2012,Fase 1,Tarzan,https://olimpiada.ic.unicamp.br/pratique/p2/2012/f1/tarzan/
2011,Fase 2,Escalonamento ótimo,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f2/escalona/
2011,Fase 2,Expressões,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f2/expressoes/
2011,Fase 2,Quadrado Mágico,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f2/magico/
2011,Fase 2,Reduzindo detalhes em um mapa,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f2/rmapa/
2011,Fase 2,Vira!,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f2/vira/
2011,Fase 1,Caça ao Tesouro,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f1/tesouro/
2011,Fase 1,Desafio cartográfico,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f1/cartografico/
2011,Fase 1,O mar não está para peixe,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f1/pesca/
2011,Fase 1,Quadrado Aritmético,https://olimpiada.ic.unicamp.br/pratique/p2/2011/f1/quadrado/
2010,Fase 2,Altas Aventuras,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f2/altas/
2010,Fase 2,Floresta,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f2/floresta/
2010,Fase 2,Multiplicação de Matrizes,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f2/matrizes/
2010,Fase 2,Telescópio,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f2/telescopio/
2010,Fase 2,Tradutor Alienígina,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f2/tradutor/
2010,Fase 1,Batalha Naval,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f1/batalha/
2010,Fase 1,Cometa,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f1/cometa/
2010,Fase 1,Elevador,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f1/elevador/
2010,Fase 1,Reunião,https://olimpiada.ic.unicamp.br/pratique/p2/2010/f1/reuniao/
2009,Fase 2,Banda,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f2/banda/
2009,Fase 2,Cadeiras do auditório,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f2/cadeiras/
2009,Fase 2,Competição de chocolate,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f2/chocolate/
2009,Fase 2,Olímpiada,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f2/olimpiada/
2009,Fase 2,Simulador,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f2/simulador/
2009,Fase 1,Caçadores de Mitos,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f1/mito/
2009,Fase 1,Caminho das Pontes,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f1/pontes/
2009,Fase 1,Notas da Prova,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f1/nota/
2009,Fase 1,O Fugitivo,https://olimpiada.ic.unicamp.br/pratique/p2/2009/f1/fugitivo/
2008,Fase 2,Auto Estrada,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f2/auto/
2008,Fase 2,Chuva,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f2/chuva/
2008,Fase 2,Frete da Família Silva,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f2/frete/
2008,Fase 2,Ortografia,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f2/ortografia/
2008,Fase 1,Avião,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f1/aviao/
2008,Fase 1,Lanche na empresa,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f1/lanche/
2008,Fase 1,OBI,https://olimpiada.ic.unicamp.br/pratique/p2/2008/f1/obi/
